ticker,market_cap_usd,pe_forward,ev_ebitda,fcf_yield,dividend_yield,revenue_growth_yoy,gross_margin,return_on_equity,net_debt_to_ebitda,momentum_12m,volatility_90d,moat_strength,management_quality,ai_exposure,regulatory_risk,esg_controversy,demand_durability,sector,market_cap_tier,competitive_position
RBE,113000000000,26.4,17.2,0.044,0.021,0.05,0.35,0.28,0.89,-0.02,0.27,4,5,3,3,3,3,industrials,large,leader
RCBRS,65000000000,34.6,24.2,0.03,0.006,0.31,0.56,0.15,0,0.45,0.54,4,5,4,1,1,5,information_technology,large,leader
RCIEN,722000000000,40.9,29.3,0.041,0.004,0.27,0.74,0.33,0.69,0.37,0.6,4,5,4,2,0,4,information_technology,mega,follower
RCOHR,1341000000000,22.2,15.3,0.014,0.007,0.26,0.65,0.13,0.07,0.58,0.54,3,5,3,1,2,4,information_technology,mega,niche
RCOIN,51000000000,12.4,9.9,0.07,0.033,0.03,0.58,0.28,0.96,0.19,0.34,2,4,1,5,1,4,financials,large,niche
RCRCL,107000000000,9.9,8.4,0.069,0.031,0.11,0.58,0.13,2.29,0.36,0.42,3,4,0,3,1,3,financials,large,challenger
RCRDO,8000000000,34.1,25.8,0.046,0.005,0.21,0.64,0.24,0.8,0.44,0.49,3,2,4,1,1,4,information_technology,mid,leader
RCRWV,11000000000,37.1,28.1,0.048,0.006,0.26,0.8,0.26,1.14,0.47,0.51,4,3,4,2,1,5,information_technology,large,leader
RDDT,57000000000,23.5,14.1,0.032,0.011,0.24,0.53,0.22,0.64,0.18,0.44,5,4,3,3,3,3,communication_services,large,niche
RDELL,1264000000000,27.5,17.5,0.017,0,0.15,0.59,0.33,0.91,0.56,0.4,4,3,5,2,1,4,information_technology,mega,challenger
RDRAM,16000000000,33.7,25.5,0.045,0.006,0.27,0.68,0.41,0.64,0.51,0.35,5,3,4,3,1,4,information_technology,large,niche
REGN,335000000000,19.7,14.3,0.043,0.01,0.2,0.55,0.26,1.38,-0.07,0.24,4,3,1,2,2,5,health_care,mega,niche
REMX,340000000000,15,8.5,0.065,0.027,0.08,0.41,0.27,0.51,0.3,0.31,3,4,1,1,2,2,materials,mega,niche
REWY,180000000000,9.9,13.8,0.042,0.016,0.07,0.61,0.16,2.21,-0.17,0.25,4,2,0,4,2,3,financials,large,follower
RFUTU,472000000000,16,11,0.086,0.015,0.06,0.64,0.28,1.15,-0.06,0.35,3,4,2,5,2,3,financials,mega,leader
RGOOGL,60000000000,32,18,0.045,0.019,0.14,0.53,0.08,1.64,0.22,0.41,4,3,5,1,1,4,communication_services,large,leader
RGTI,1049000000000,36.6,23,0.048,0.007,0.4,0.79,0.29,1.1,0.46,0.37,2,3,4,2,1,4,information_technology,mega,challenger
RHOOD,33000000000,17.5,13.3,0.048,0.02,0.11,0.57,0.2,1.82,0.13,0.42,3,5,2,4,3,3,financials,large,niche
RIBM,146000000000,49,32.4,0.036,0.004,0.12,0.7,0.19,0.34,0.26,0.6,4,2,5,1,0,3,information_technology,large,leader
RINTC,2278000000000,36.7,25.8,0.011,0.002,0.42,0.7,0.29,1.15,0.04,0.41,3,4,4,2,3,4,information_technology,mega,niche
RIOT,396000000000,25.8,39.4,0.046,0.008,0.43,0.59,0.41,-0.31,0.03,0.46,2,3,3,3,2,4,information_technology,mega,leader
RIREN,72000000000,39.5,26.8,0.019,0,0.32,0.82,0.31,0.19,0.58,0.58,4,2,4,3,2,4,information_technology,large,follower
RIVN,316000000000,22.3,11.6,0.045,0.019,0.07,0.44,0.1,1.27,0.33,0.37,2,4,1,1,0,3,consumer_discretionary,mega,leader
RKLB,1461000000000,16.9,10.6,0.056,0.029,0.05,0.26,0.2,0.77,0.31,0.43,3,5,1,2,1,4,industrials,mega,niche
RKLBB,106000000000,22.1,13.4,0.038,0.015,0.05,0.29,0.27,1.7,-0.02,0.25,4,5,2,3,2,2,industrials,large,niche
RLITE,3000000000,50.7,35.3,0.035,0.004,0.44,0.83,0.29,1.18,0.43,0.53,5,4,5,2,0,4,information_technology,mid,challenger
RLLY,8000000000,25.1,19.5,0.043,0.017,0.13,0.66,0.22,1,0.26,0.26,3,5,1,4,0,3,health_care,mid,follower
RLRCX,20000000000,34.8,25,0.014,0.002,0.11,0.48,0.43,1.01,0.01,0.36,2,3,4,1,2,3,information_technology,large,leader
RMETA,241000000000,21,12.8,0.049,0.018,0.25,0.61,0.2,2.38,0.23,0.37,4,2,3,2,1,4,communication_services,mega,follower
RMP,154000000000,21,6.3,0.046,0.025,0.02,0.42,0.19,0.36,0.18,0.32,4,3,2,2,1,2,materials,large,challenger
RMRVL,138000000000,26.2,21.6,0.045,0,0.22,0.56,0.21,1.08,0.51,0.6,4,3,3,2,1,5,information_technology,large,follower
RMSFT,34000000000,25.5,20.4,0.016,0.002,0.36,0.61,0.29,0.44,0.26,0.56,3,5,3,2,3,3,information_technology,large,niche
RMSTR,227000000000,13.2,11,0.081,0.033,0.07,0.67,0.29,1.46,0.43,0.33,3,2,1,5,1,3,financials,mega,leader
RMU,710000000000,28.5,22.7,0.05,0.001,0.16,0.67,0.14,-0.21,0,0.51,2,4,3,3,2,4,information_technology,mega,leader
RNBIS,1082000000000,37.6,25.4,0.03,0.003,0.14,0.83,0.24,-0.23,0.35,0.49,2,4,4,2,3,4,information_technology,mega,challenger
RNOK,1891000000000,53.4,38.5,0.035,0.007,0.16,0.59,0.33,0.77,0.59,0.6,3,2,5,2,1,4,information_technology,mega,niche
RNOW,293000000000,27.7,22.2,0.044,0.008,0.41,0.52,0.44,0.43,-0.1,0.46,4,3,3,3,2,4,information_technology,mega,leader
RNVDA,8000000000,33,20.1,0.049,0.007,0.38,0.46,0.26,-0.47,0.51,0.54,5,3,4,2,1,5,information_technology,mid,challenger
RONDS,1785000000000,27.3,19.5,0.027,0.029,0.06,0.27,0.11,1.58,-0.19,0.41,4,2,3,2,2,3,industrials,mega,leader
RORCL,1308000000000,38.9,27.5,0.033,0.006,0.42,0.51,0.13,0.56,0.46,0.44,2,3,4,1,1,5,information_technology,mega,leader
RPLTR,8000000000,34.3,20.9,0.023,0.003,0.42,0.57,0.21,0.94,0.33,0.6,4,2,4,2,3,3,information_technology,mid,follower
RQCOM,18000000000,28.3,18.3,0.011,0.007,0.27,0.85,0.24,0.73,0.44,0.51,2,3,3,2,1,4,information_technology,large,challenger
RQQQ,559000000000,11.7,9.1,0.042,0.033,0.02,0.42,0.19,1.56,0.33,0.26,3,5,0,4,1,3,financials,mega,challenger
RRGTI,42000000000,54.5,39.7,0.034,0.003,0.22,0.61,0.3,1.07,0.22,0.37,2,3,5,2,0,3,information_technology,large,challenger
RRKLB,867000000000,16.1,8.4,0.059,0.027,0.05,0.31,0.13,1.05,0.18,0.34,4,2,0,1,0,4,industrials,mega,challenger
RSMCI,29000000000,34.6,23.1,0.049,0.007,0.45,0.84,0.4,0.49,-0.04,0.32,4,3,4,3,1,4,information_technology,large,follower
RSNDK,8000000000,37.8,25.5,0.047,0.006,0.12,0.68,0.2,0.47,0.36,0.48,5,3,4,2,1,5,information_technology,mid,challenger
RSOFI,1421000000000,11.7,9.4,0.077,0.028,0.01,0.57,0.25,1.82,0.06,0.21,3,2,1,4,0,3,financials,mega,follower
RSOXL,281000000000,42.7,30.4,0.024,0.004,0.26,0.69,0.23,0.53,0.39,0.51,3,5,4,2,0,5,information_technology,mega,follower
RSOXS,819000000000,40.5,30.5,0.014,0.008,0.3,0.71,0.34,0.18,0.42,0.4,5,3,4,2,1,4,information_technology,mega,challenger
RSPCX,287000000000,14.5,8.5,0.057,0.023,0.07,0.28,0.13,0.63,0.37,0.43,4,3,3,1,1,3,industrials,mega,leader
RSPY,14000000000,9.7,8.4,0.061,0.019,0,0.61,0.17,2.34,-0.01,0.23,2,3,0,4,3,3,financials,large,challenger
RSTX,532000000000,49.7,39,0.039,0.004,0.37,0.56,0.13,1.05,0.16,0.4,2,4,5,1,3,4,information_technology,mega,niche
RTSLA,116000000000,27,13.6,0.05,0.021,0.22,0.38,0.13,1.5,0.37,0.47,5,3,1,1,1,3,consumer_discretionary,large,challenger
RTSM,6000000000,27.7,19,0.016,0.003,0.21,0.47,0.33,-0.19,0.12,0.45,3,2,3,3,0,3,information_technology,mid,niche
RTX,7000000000,27.9,8.7,0.058,0.024,0.06,0.32,0.25,2.22,0.3,0.23,3,4,0,2,1,3,industrials,mid,follower
RUSAR,971000000000,17.7,10.6,0.061,0.025,0.04,0.21,0.12,1.61,0.1,0.28,4,3,1,2,1,3,materials,mega,leader
RWDC,38000000000,46.2,33.1,0.027,0.005,0.25,0.68,0.12,0.4,0.4,0.51,4,2,4,1,0,3,information_technology,large,leader
SAAPL,434000000000,31.3,25.5,0.012,0.002,0.44,0.8,0.27,0.55,-0.07,0.33,3,5,4,2,2,5,information_technology,mega,follower
SAMD,1235000000000,45,35.8,0.043,0.007,0.39,0.57,0.38,-0.31,0.53,0.58,4,3,5,3,1,3,information_technology,mega,niche
SAMZN,23000000000,15.1,18.7,0.057,0.02,0.05,0.43,0.09,1.61,0.28,0.48,3,5,3,1,1,3,consumer_discretionary,large,challenger
SBET,62000000000,15.9,12.2,0.044,0.035,0.01,0.63,0.1,2.19,-0.15,0.31,2,4,2,3,2,3,financials,large,niche
SBMNR,114000000000,46.8,30.3,0.024,0.003,0.33,0.63,0.19,0.65,0.12,0.4,2,3,4,1,0,4,information_technology,large,challenger
SBUX,5000000000,33.5,18.4,0.033,0.006,0.1,0.33,0.16,2.02,-0.1,0.26,3,4,3,2,2,3,consumer_discretionary,mid,leader
SCOIN,26000000000,9.7,13.6,0.046,0.019,0.06,0.49,0.09,1.83,-0.14,0.24,2,3,0,5,3,3,financials,large,leader
SCRCL,104000000000,10.6,8.2,0.088,0.035,0.11,0.55,0.14,1.35,0.43,0.23,2,4,0,4,2,3,financials,large,challenger
SGLXY,10000000000,10.3,8.7,0.041,0.033,0.07,0.46,0.08,2.43,0.23,0.27,5,4,0,5,1,2,financials,large,niche
SGOOGL,21000000000,26.4,14.5,0.032,0.005,0.17,0.64,0.11,2.35,-0.11,0.31,5,3,4,1,2,2,communication_services,large,niche
SHAZ,5000000000,47.1,37.2,0.021,0,0.43,0.76,0.23,1.18,0,0.29,4,2,5,2,2,3,information_technology,mid,leader
SHLD,2177000000000,22.1,14.9,0.066,0.024,0.07,0.27,0.26,1.67,0.35,0.24,4,5,2,3,1,4,industrials,mega,follower
SHOP,119000000000,53.3,15.3,0.022,0.001,0.17,0.7,0.38,0.83,0.02,0.3,3,2,5,2,2,3,information_technology,large,follower
SILV,3000000000,11.7,7.5,0.06,0.032,0.01,0.45,0.12,1.69,-0.09,0.3,3,2,0,2,3,3,materials,mid,challenger
SILVST,1320000000000,18.1,10.9,0.031,0.019,0.11,0.42,0.22,1.17,-0.06,0.25,2,4,1,3,3,2,materials,mega,niche
SINTC,52000000000,35.1,28.3,0.024,0.004,0.39,0.57,0.21,0.53,0.2,0.43,3,4,4,2,3,4,information_technology,large,challenger
SKHY,949000000000,45.8,33.3,0.037,0.007,0.35,0.77,0.27,1.03,0.41,0.55,2,4,4,2,1,5,information_technology,mega,niche
SKHYB,10000000000,38.9,24.6,0.01,0.007,0.17,0.63,0.28,1,0.54,0.55,4,2,4,2,1,5,information_technology,large,follower
SLV,39000000000,13.1,6.9,0.061,0.031,0.1,0.31,0.11,2,0.33,0.4,4,2,0,1,2,2,materials,large,challenger
SMCI,11000000000,50.5,38.2,0.048,0.006,0.1,0.62,0.26,1.14,0.47,0.51,4,3,5,2,1,5,information_technology,large,leader
SMETA,16000000000,32.9,17,0.041,0.015,0.13,0.43,0.17,0.58,0.26,0.22,2,3,4,2,0,3,communication_services,large,follower
SMH,15000000000,32.5,19.5,0.026,0.004,0.37,0.52,0.24,0.35,0.39,0.3,3,4,4,2,0,4,information_technology,large,follower
SMSFT,55000000000,44.6,29.3,0.025,0.004,0.19,0.71,0.39,0.87,0.02,0.33,2,3,4,2,2,4,information_technology,large,niche
SMSTR,5000000000,10.8,9.1,0.084,0.017,0.06,0.41,0.18,1.99,-0.08,0.41,3,5,1,4,2,4,financials,mid,follower
SNAP,7000000000,22.5,10.7,0.03,0.007,0.23,0.65,0.26,1.05,-0.16,0.33,4,5,3,2,2,3,communication_services,mid,follower
SNDK,5000000000,28.6,21.7,0.038,0.005,0.28,0.69,0.35,0.74,0.39,0.29,2,3,3,2,1,4,information_technology,mid,follower
SNDKB,5000000000,31.4,23.8,0.044,0.005,0.28,0.82,0.22,0.28,0.4,0.47,2,4,4,1,1,4,information_technology,mid,leader
SNOW,577000000000,27.5,20.7,0.047,0.007,0.45,0.74,0.1,-0.08,0.56,0.52,2,4,3,1,1,3,information_technology,mega,niche
SNPS,18000000000,51.7,34.5,0.023,0.002,0.42,0.49,0.43,0.48,0.04,0.49,4,2,5,3,2,5,information_technology,large,follower
SNVDA,64000000000,50.7,39.9,0.036,0.003,0.14,0.51,0.36,0.14,0.27,0.41,4,3,3,3,0,4,information_technology,large,follower
SOFI,18000000000,10.5,9.6,0.05,0.035,0.08,0.65,0.21,0.96,0.36,0.41,2,4,1,4,1,3,financials,large,challenger
SORCL,45000000000,22.2,18.6,0.023,0.003,0.11,0.67,0.2,0.4,0.18,0.42,2,4,3,2,3,3,information_technology,large,challenger
SOXL,29000000000,54.9,17.7,0.016,0.002,0.09,0.67,0.29,0.21,0.24,0.55,2,4,3,2,3,4,information_technology,large,niche
SOXS,25000000000,41.2,27.9,0.038,0.003,0.45,0.79,0.34,0.11,0.15,0.39,5,3,4,2,2,5,information_technology,large,follower
SOXX,13000000000,38.9,27.5,0.02,0.004,0.13,0.67,0.41,-0.44,0.28,0.46,3,4,4,3,3,4,information_technology,large,niche
SPACEX,20000000000,17.5,12.4,0.043,0.021,0.04,0.3,0.21,0.22,0.2,0.24,5,4,1,2,0,3,industrials,large,follower
SPCX,351000000000,27.2,8.9,0.065,0.024,0.03,0.4,0.08,2.06,0.31,0.37,3,4,0,1,1,4,industrials,mega,niche
SPCXB,31000000000,20.2,14.8,0.047,0.016,0.07,0.28,0.22,0.82,0.07,0.28,4,3,2,2,3,3,industrials,large,challenger
SPLTR,145000000000,27.1,16,0.01,0,0.08,0.54,0.21,-0.04,-0.09,0.34,2,4,3,2,2,4,information_technology,large,follower
SPY,104000000000,12.4,9.1,0.07,0.025,0.11,0.51,0.13,2.39,0.1,0.43,2,3,1,3,0,3,financials,large,niche
SPYM,503000000000,13.5,9.8,0.075,0.031,0.07,0.4,0.11,1.85,0.13,0.32,4,3,1,3,0,3,financials,mega,challenger
SPYR,1364000000000,17.7,12,0.089,0.033,0.08,0.44,0.21,1.75,0.35,0.28,4,2,2,4,1,2,financials,mega,challenger
SQQQ,16000000000,12.7,9.9,0.086,0.018,0.01,0.51,0.18,2.48,-0.11,0.41,3,4,1,4,2,3,financials,large,follower
SSBET,1443000000000,12.4,9.5,0.049,0.015,0.02,0.42,0.22,2.1,0.42,0.3,4,3,0,4,2,3,financials,mega,challenger
SSPY,14000000000,15.1,10.7,0.048,0.02,0.01,0.58,0.21,1.62,0.43,0.44,4,2,2,4,2,3,financials,large,follower
STGLD,1421000000000,12.3,7.1,0.068,0.014,0.05,0.23,0.18,0.28,-0.13,0.25,3,5,0,2,4,2,materials,mega,follower
STLD,8000000000,18.8,10,0.046,0.016,0.01,0.41,0.19,0.59,-0.08,0.22,4,2,1,2,3,3,materials,mid,challenger
STRC,3000000000,16.3,12.4,0.078,0.026,0,0.52,0.14,1.5,0.21,0.33,3,4,2,3,0,3,financials,mid,leader
STSLA,6000000000,31.8,14.7,0.046,0.016,0.19,0.47,0.26,0.63,0.14,0.42,5,3,2,3,0,4,consumer_discretionary,mid,leader
STX,113000000000,54.7,39.6,0.025,0.002,0.09,0.7,0.23,-0.42,-0.09,0.49,5,4,3,2,2,4,information_technology,large,leader
TER,785000000000,38.8,28,0.035,0.007,0.42,0.48,0.27,0.78,0.39,0.54,5,3,4,2,1,4,information_technology,mega,follower
TGLD,72000000000,21.5,6.6,0.059,0.033,-0.01,0.21,0.13,1.46,0.31,0.38,3,4,2,2,2,4,materials,large,challenger
TMUS,26000000000,20,11.2,0.049,0.014,0.21,0.73,0.12,1.1,-0.05,0.42,5,3,3,1,3,3,communication_services,large,niche
TQQQ,75000000000,12.1,9.8,0.073,0.034,0.09,0.43,0.29,2.47,0.22,0.36,2,4,1,5,1,4,financials,large,leader
TSLA,20000000000,16.6,19.1,0.043,0.016,0.04,0.37,0.18,0.49,0.29,0.28,2,3,0,2,0,4,consumer_discretionary,large,follower
TSLAB,709000000000,37,18.4,0.063,0.007,0.09,0.25,0.16,2.48,-0.19,0.31,3,5,3,2,2,3,consumer_discretionary,mega,follower
TSM,34000000000,33.3,26.4,0.032,0.005,0.43,0.54,0.33,0.81,0.38,0.36,4,3,4,2,1,4,information_technology,large,follower
TSMB,46000000000,54.3,39.2,0.028,0.005,0.38,0.54,0.13,0.18,0.42,0.52,4,5,5,1,0,5,information_technology,large,leader
TSMRH,4000000000,44,31.7,0.014,0,0.33,0.72,0.3,-0.09,0.06,0.36,4,3,4,2,2,4,information_technology,mid,challenger
TTWO,5000000000,27.9,13.9,0.063,0.024,0.24,0.58,0.25,0.26,0.34,0.43,3,4,4,2,2,4,communication_services,mid,niche
TXAG,269000000000,16.1,9.1,0.057,0.026,0.12,0.4,0.13,2.4,0.36,0.37,3,5,1,1,1,3,materials,mega,leader
TXAU,54000000000,21.7,11,0.05,0.027,-0.03,0.38,0.21,0.66,0.38,0.24,3,4,2,2,2,4,materials,large,niche
UBER,14000000000,14.6,19.8,0.069,0.025,0.13,0.37,0.16,2.4,0.28,0.37,3,4,0,2,1,3,industrials,large,challenger
URA,10000000000,11,6.5,0.032,0.014,-0.04,0.42,0.24,0.72,0.04,0.27,4,3,0,2,3,3,materials,large,follower
URNM,1502000000000,17.2,8.8,0.025,0.015,0.01,0.36,0.1,1.35,0.05,0.35,3,4,1,1,3,4,materials,mega,challenger
USAR,4000000000,16.3,9.1,0.064,0.03,0.12,0.35,0.28,1.82,0.14,0.21,4,3,1,3,1,4,materials,mid,follower
VNXAU,2130000000000,18.7,10.4,0.022,0.034,0.02,0.3,0.2,1.89,-0.09,0.22,2,4,1,2,2,2,materials,mega,challenger
VRTX,126000000000,38.3,13.1,0.057,0.016,0.17,0.66,0.27,1.93,0.21,0.33,3,4,0,5,1,3,health_care,large,follower
VST,80000000000,13.8,9.4,0.036,0.035,0.04,0.34,0.15,2.86,0.43,0.18,3,5,0,2,2,5,utilities,large,leader
WAAPL,209000000000,37.2,26.8,0.028,0.005,0.41,0.69,0.1,0.7,0.43,0.41,3,5,4,1,0,4,information_technology,mega,leader
WAMZN,431000000000,22,13,0.054,0.02,0.04,0.47,0.22,1.05,0.28,0.45,5,4,1,2,1,3,consumer_discretionary,mega,follower
WBCOIN,1756000000000,10.4,9.1,0.075,0.025,0.06,0.6,0.13,1.38,0.18,0.32,2,4,0,3,0,3,financials,mega,niche
WBMSTR,14000000000,11.2,9.6,0.064,0.022,0.04,0.52,0.1,1.25,-0.11,0.39,4,2,1,3,2,3,financials,large,niche
WBNVDA,692000000000,49.7,35.7,0.044,0.001,0.36,0.56,0.22,0.19,-0.09,0.35,4,3,5,2,2,5,information_technology,mega,follower
WBTSLA,5000000000,16.3,9.3,0.03,0.009,0.23,0.48,0.14,2.14,-0.05,0.26,4,3,0,2,2,4,consumer_discretionary,mid,leader
WCOIN,15000000000,15,11.2,0.055,0.025,0.08,0.64,0.28,0.93,0.17,0.35,3,4,1,5,3,4,financials,large,leader
WCRCL,579000000000,10.4,8.8,0.07,0.031,0.05,0.55,0.17,2.12,0.22,0.39,5,3,0,4,1,4,financials,mega,follower
WDC,192000000000,53,35.1,0.042,0.007,0.36,0.58,0.38,0.02,-0.05,0.42,3,4,5,3,1,4,information_technology,large,leader
WDCB,12000000000,29.5,20.4,0.02,0.004,0.26,0.82,0.36,0.17,0.19,0.48,4,3,3,3,1,5,information_technology,large,niche
WGOOGL,366000000000,27.2,14.3,0.025,0.022,0.27,0.66,0.1,1.3,0.29,0.39,5,3,4,1,1,3,communication_services,mega,niche
WHOOD,4000000000,11.2,10,0.058,0.025,0.07,0.45,0.25,1.55,0.03,0.32,3,4,1,5,3,3,financials,mid,leader
WIBM,31000000000,43.8,28.7,0.021,0.003,0.38,0.52,0.36,-0.15,-0.04,0.3,3,5,4,2,2,4,information_technology,large,niche
WMCD,1911000000000,24.1,10.8,0.059,0.019,0.24,0.29,0.14,0.76,0.25,0.4,2,3,1,2,0,3,consumer_discretionary,mega,challenger
WMETA,1668000000000,23.8,11.3,0.057,0.022,0.08,0.7,0.22,1.77,0.27,0.4,2,3,3,2,1,3,communication_services,mega,follower
WMRVL,611000000000,34.1,23.9,0.029,0.005,0.31,0.84,0.28,0.85,0.47,0.54,4,3,4,2,1,4,information_technology,mega,follower
WMSFT,380000000000,41.9,33.5,0.011,0.001,0.19,0.52,0.26,-0.05,-0.08,0.32,5,3,4,2,2,5,information_technology,mega,follower
WMSTR,9000000000,17.7,12.8,0.057,0.027,0.09,0.53,0.22,1.04,0.02,0.28,2,4,2,4,3,3,financials,mid,follower
WMT,148000000000,15.6,19.9,0.057,0.037,0.05,0.32,0.24,1.71,-0.18,0.17,4,5,0,1,1,5,consumer_staples,large,niche
WNVDA,600000000000,35.8,23.9,0.032,0.003,0.4,0.78,0.42,-0.4,0.1,0.36,3,4,4,1,3,4,information_technology,mega,niche
WORCL,17000000000,48.9,35.7,0.028,0.006,0.43,0.5,0.36,0.66,0.21,0.41,4,3,5,2,0,4,information_technology,large,niche
WPLTR,11000000000,52.1,16.2,0.015,0.002,0.34,0.52,0.13,-0.05,0.04,0.36,5,3,5,1,2,5,information_technology,large,leader
WQQQ,1490000000000,14.8,11.1,0.089,0.019,0.06,0.46,0.19,0.83,-0.11,0.28,3,5,2,4,3,3,financials,mega,follower
WSPY,12000000000,11.5,10.2,0.066,0.028,0.1,0.59,0.29,2,0.14,0.36,3,5,1,3,0,3,financials,large,leader
WSTRC,18000000000,9.7,8.4,0.045,0.015,0.11,0.43,0.1,2.28,0.29,0.29,4,3,0,5,1,3,financials,large,niche
WTSLA,39000000000,28,15.9,0.036,0.013,0.23,0.35,0.14,1.91,0.05,0.36,3,5,2,2,3,4,consumer_discretionary,large,challenger
XAGM,1110000000000,11.4,11.9,0.055,0.025,0.07,0.42,0.12,1.44,0.2,0.3,3,4,0,1,4,3,materials,mega,leader
XAUE,309000000000,15,8.6,0.045,0.028,0.05,0.34,0.16,0.83,0.17,0.33,3,5,1,2,1,2,materials,mega,follower
XAUM,51000000000,20.5,11.3,0.031,0.021,-0.03,0.36,0.26,1.91,0.16,0.22,3,5,2,3,4,4,materials,large,niche
XAUT,6000000000,13.4,8.4,0.065,0.035,0.04,0.22,0.15,2.48,-0.04,0.32,4,3,1,2,3,3,materials,mid,follower
XEL,102000000000,18.7,19.2,0.044,0.035,0.04,0.33,0.27,2.87,-0.12,0.13,3,2,2,4,2,5,utilities,large,follower
XGZ,1248000000000,16.9,9.4,0.056,0.026,0.01,0.32,0.24,1.78,0.04,0.18,3,2,1,2,4,3,materials,mega,challenger
XLE,305000000000,10.1,5.1,0.093,0.029,0.04,0.28,0.12,1.57,0.36,0.33,4,3,1,2,3,2,energy,mega,challenger
XU3O8,9000000000,13.1,7.6,0.068,0.015,0.04,0.35,0.2,0.6,-0.01,0.39,4,3,1,2,3,4,materials,mid,follower
ZM,40000000000,44.3,32.2,0.018,0.003,0.16,0.53,0.11,0.34,0.08,0.4,4,2,4,1,3,3,information_technology,large,challenger
